STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TempAvg,TempMax,TempMin,Fog,Thunder,Ice Pellets,Hail,Smoke
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/14/2018,0.39,,,,49,36,1,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,3/13/2018,0,,,,72,46,1,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/1/2018,0,,,,43,30,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/2/2018,0,0,0,,44,31,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/3/2018,0,,,,43,31,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/4/2018,0,,,,47,33,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/5/2018,0.67,,,,46,37,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/6/2018,0.36,,,,50,43,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/7/2018,0.11,,,,46,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/8/2018,0.33,0,0,,47,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/9/2018,0.1,,,,48,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/10/2018,0.03,,,,45,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/11/2018,0.71,,,,45,40,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/12/2018,0.75,,,,49,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/13/2018,0.1,0,0,,54,48,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/14/2018,0,0,0,,53,39,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/15/2018,0,,,,59,39,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/16/2018,0.19,,,,63,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/17/2018,0.17,,,,53,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/18/2018,1.05,,,,51,41,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/19/2018,0.39,,,,48,40,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/20/2018,0.15,,,,45,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/21/2018,0.23,,,,48,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/22/2018,0.78,,,,47,39,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/23/2018,0.15,,,,48,38,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/24/2018,1.9,,,,49,40,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/25/2018,0.32,,,,46,37,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/26/2018,0.5,,,,42,36,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/27/2018,1.13,,,,44,36,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/28/2018,0.15,,,,51,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/29/2018,0.31,,,,54,43,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/30/2018,1.3,,,,51,39,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,1/31/2018,0.01,,,,50,37,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/1/2018,0.01,0,0,,45,39,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/2/2018,0.46,,,,49,43,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/3/2018,0.06,,,,56,48,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/4/2018,0.08,,,,52,48,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,2/5/2018,0.02,,,,57,44,,,,,
